precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,b,b1,b2,b3,c,d,e,f,"GEORGE-NICOLAE SIMION-voturi","GEORGE-CRIN-LAURENȚIU ANTONESCU-voturi","ELENA-VALERICA LASCONI-voturi","CRISTIAN-VASILE TERHEȘ-voturi","MARCELA-LAVINIA ȘANDRU-voturi","VICTOR-VIOREL PONTA-voturi","SEBASTIAN-CONSTANTIN POPESCU-voturi","SILVIU PREDOIU-voturi","JOHN-ION BANU-MUSCEL-voturi","PETRU-DANIEL FUNERIU-voturi","NICUȘOR-DANIEL DAN-voturi"
1,ALBA,"COLEGIUL TEHNIC „APULUM”",12,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:11:00",1085,438,394,44,0,432,6,1200,762,168,68,17,2,1,64,4,1,1,7,99
1,ALBA,"COLEGIUL TEHNIC „APULUM”",13,"MUNICIPIUL ALBA IULIA",1017,2,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 23:41:52",940,423,397,26,0,417,6,1000,577,127,102,13,0,2,66,2,0,2,5,98
1,ALBA,"COLEGIUL TEHNIC „APULUM”",14,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:34:17",1041,432,408,24,0,427,5,1100,668,134,98,13,4,5,50,0,0,1,3,119
1,ALBA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 9",15,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 21:40:58",1268,655,505,150,0,647,8,1400,745,252,98,29,9,14,65,0,1,2,4,173
1,ALBA,"SEMINARUL TEOLOGIC ORTODOX „SFÂNTUL SIMION ŞTEFAN”",16,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:37:26",1254,632,543,89,0,628,4,1400,768,230,129,26,4,9,90,1,0,4,6,129
1,ALBA,"ŞCOALA GIMNAZIALĂ „ION AGÂRBICEANU”",17,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 21:48:47",814,459,343,76,40,454,5,900,441,172,83,15,1,2,68,2,0,2,4,105
1,ALBA,"ŞCOALA GIMNAZIALĂ „ION AGÂRBICEANU”",18,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:26:54",798,538,398,95,45,532,6,900,362,183,102,13,3,3,71,1,1,2,4,149
1,ALBA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 11",19,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:42:06",1056,583,421,162,0,575,8,1100,517,248,86,21,1,4,96,0,0,4,0,115
1,ALBA,"GRĂDINIŢA CU PROGRAM PRELUNGIT STEP BY STEP NR. 12",20,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:12:13",973,473,428,45,0,468,5,1100,627,138,84,12,2,5,90,3,0,0,2,132
1,ALBA,"GRĂDINIŢA CU PROGRAM PRELUNGIT STEP BY STEP NR. 12",21,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 23:05:40",1012,528,480,48,0,521,7,1100,572,141,118,23,3,7,83,1,0,2,7,136
1,ALBA,"ŞCOALA GIMNAZIALĂ „MIHAI EMINESCU”",22,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:31:43",1145,693,549,144,0,686,7,1200,507,230,121,22,4,3,108,1,1,2,8,186
1,ALBA,"ŞCOALA GIMNAZIALĂ „MIHAI EMINESCU”",23,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 23:42:57",1618,884,809,75,0,878,6,1700,816,272,200,21,4,5,121,0,3,2,12,238
1,ALBA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 13",24,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:17:53",996,498,454,44,0,488,10,1100,602,183,95,21,2,7,68,2,0,1,3,106
1,ALBA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 13",25,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:46:29",1156,594,555,39,0,586,8,1200,606,193,107,15,7,12,99,1,0,1,8,143
1,ALBA,"LICEUL CU PROGRAM SPORTIV",26,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:12:35",1289,645,589,56,0,636,9,1400,755,218,112,13,3,10,107,0,1,3,3,166
1,ALBA,"LICEUL CU PROGRAM SPORTIV",27,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:36:26",1277,644,586,58,0,638,6,1400,756,218,130,12,9,2,90,2,1,2,6,166
1,ALBA,"LICEUL CU PROGRAM SPORTIV",28,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 23:16:50",1393,764,685,79,0,756,8,1500,736,229,174,18,7,3,95,0,0,2,5,223
1,ALBA,"LICEUL CU PROGRAM SPORTIV",29,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 23:25:46",912,482,412,70,0,473,9,1000,518,156,84,13,4,4,81,1,0,3,2,125
1,ALBA,"BAZIN OLIMPIC",30,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:37:13",1061,509,459,50,0,501,8,1200,691,149,94,11,2,8,94,0,1,4,4,134
1,ALBA,"BAZIN OLIMPIC",31,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:57:42",1210,574,435,139,0,569,5,1300,726,244,89,15,3,6,63,0,1,3,3,142
1,ALBA,"STADION MUNICIPAL „CETATE”",32,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:41:27",1311,717,640,77,0,707,10,1400,683,233,144,25,9,3,83,1,0,1,6,202
1,ALBA,"GRĂDINIȚA CU PROGRAM NORMAL NR. 10",33,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:23:25",1673,732,696,36,0,714,18,1800,1068,343,101,22,4,10,65,3,0,4,8,154
1,ALBA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 10",34,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 23:32:00",1444,625,568,57,0,615,10,1500,875,309,89,7,2,4,73,0,4,3,10,114
1,ALBA,"COLEGIUL TEHNIC „DORIN PAVEL” ȘCOALA GENERALĂ NR. 9",35,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 23:36:20",1451,837,746,90,1,823,14,1500,663,199,192,17,2,10,119,2,0,2,7,273
1,ALBA,"COLEGIUL TEHNIC „DORIN PAVEL”",36,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-05 00:30:38",1423,753,640,113,0,734,19,1500,747,249,113,19,0,9,113,1,2,2,6,220
1,ALBA,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 16",37,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 23:35:16",1516,835,658,177,0,822,13,1600,765,326,116,25,8,9,78,5,2,3,8,242
1,ALBA,"COLEGIUL TEHNIC „ALEXANDRU DOMȘA”",38,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-05 00:05:32",1440,737,663,74,0,728,9,1500,763,261,110,30,7,3,88,2,1,3,10,213
1,ALBA,"COLEGIUL TEHNIC „ALEXANDRU DOMȘA”",39,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:43:05",1478,682,620,62,0,670,12,1600,918,291,89,21,8,8,85,0,0,3,6,159
1,ALBA,"COLEGIUL TEHNIC „ALEXANDRU DOMȘA”",40,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 23:02:46",1312,566,537,29,0,552,14,1400,834,251,78,13,6,8,65,0,2,1,1,127
1,ALBA,"FLORIDA GOLD SRL",41,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 23:46:05",1501,901,841,60,0,889,12,1600,699,235,193,28,4,5,97,2,2,6,7,310
1,ALBA,"FLORIDA GOLD SRL",42,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 23:38:16",1331,874,791,83,0,861,13,1400,526,234,166,26,5,10,98,2,0,1,11,308
1,ALBA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 5 PARTOŞ",43,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:27:24",850,474,441,32,1,467,7,900,426,171,84,14,4,4,47,4,0,2,4,133
1,ALBA,"CĂMINUL PENTRU PERSOANE VÂRSTNICE",44,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:54:04",1262,805,693,112,0,791,14,1300,495,186,171,28,3,7,107,7,2,5,12,263
1,ALBA,"GRĂDINIŢA CU PROGRAM NORMAL BĂRĂBANŢ",45,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:17:57",1024,540,495,45,0,530,10,1100,560,246,69,5,1,4,73,1,1,1,3,126
1,ALBA,"GRĂDINIŢA CU PROGRAM NORMAL BĂRĂBANŢ",46,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:32:33",1286,634,614,20,0,629,5,1300,666,258,81,13,11,4,99,1,0,2,4,156
1,ALBA,"ŞCOALA GIMNAZIALĂ MICEŞTI - SALA DE SPORT",47,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:37:08",1279,743,665,78,0,740,3,1400,657,260,138,24,6,5,85,1,0,6,2,213
1,ALBA,"ŞCOALA GIMNAZIALĂ MICEŞTI",48,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:41:38",1486,857,782,74,1,846,11,1600,743,313,173,22,5,7,101,3,0,1,2,219
1,ALBA,"CĂMINUL CULTURAL OARDA DE JOS",49,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:55:35",1297,704,652,51,1,692,12,1400,696,321,117,20,5,3,75,5,0,5,8,133
1,ALBA,"GRĂDINIŢA CU PROGRAM NORMAL OARDA DE SUS",50,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:07:02",733,371,339,32,0,364,7,800,429,174,52,16,10,4,36,2,0,3,6,61
1,ALBA,"ŞCOALA PRIMARĂ PÂCLIŞA",51,"MUNICIPIUL ALBA IULIA",1017,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:41:53",841,398,367,31,0,394,4,900,502,196,60,4,7,3,56,0,2,2,5,59
1,ALBA,"ȘCOALA GIMNAZIALĂ ”OVIDIU HULEA” AIUD",52,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:44:53",1296,573,535,38,0,565,8,1400,827,157,169,9,0,7,94,2,0,3,2,122
1,ALBA,"ȘCOALA GIMNAZIALĂ ”OVIDIU HULEA” AIUD",53,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 23:00:45",1451,664,583,80,1,657,7,1500,836,209,159,16,1,5,105,1,1,2,4,154
1,ALBA,"ŞCOALA GIMNAZIALĂ ”OVIDIU HULEA” AIUD",54,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:15:27",951,426,359,67,0,418,8,1000,574,141,110,10,0,1,55,1,1,0,0,99
1,ALBA,"ŞCOALA GIMNAZIALĂ ”OVIDIU HULEA” AIUD",55,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:42:26",1123,521,494,27,0,511,10,1200,679,183,116,9,2,5,68,0,0,2,4,122
1,ALBA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”PRIMII PAŞI” AIUD",56,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:14:50",875,431,380,51,0,429,2,1000,569,126,138,15,2,0,61,1,0,2,0,84
1,ALBA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”PRIMII PAŞI” AIUD",57,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:20:58",1062,492,451,41,0,487,5,1100,608,167,120,12,0,3,85,3,2,2,1,92
1,ALBA,"ȘCOALA GIMNAZIALĂ ”AXENTE SEVER” AIUD",58,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:53:36",1197,636,442,51,143,626,10,1300,664,282,104,21,7,5,101,1,3,3,5,94
1,ALBA,"ŞCOALA GIMNAZIALĂ ”AXENTE SEVER” AIUD",59,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 23:24:35",1093,565,403,31,131,549,16,1200,635,251,124,20,3,0,70,3,4,2,3,69
1,ALBA,"ŞCOALA GIMNAZIALĂ ”AXENTE SEVER” AIUD",60,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:57:09",1085,589,449,29,111,578,11,1200,611,261,119,17,6,4,90,4,0,1,1,75
1,ALBA,"ŞCOALA GIMNAZIALĂ ”AXENTE SEVER” AIUD",61,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 23:05:01",1060,593,429,32,132,580,13,1100,507,263,115,22,4,8,99,1,0,0,1,67
1,ALBA,"ȘCOALA GIMNAZIALĂ „AXENTE SEVER” AIUD",62,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:14:10",1183,629,482,21,126,623,6,1300,671,239,141,24,1,6,115,2,1,3,3,88
1,ALBA,"COLEGIUL NAŢIONAL ”TITU MAIORESCU” AIUD",63,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:22:52",1399,677,567,55,55,666,11,1500,823,209,184,14,4,4,93,2,1,1,1,153
1,ALBA,"LICEUL TEHNOLOGIC AIUD",64,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:10:53",704,284,269,15,0,279,5,800,516,79,68,8,4,1,52,0,1,1,0,65
1,ALBA,"LICEUL TEHNOLOGIC AIUD",65,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:29:59",622,276,257,19,0,274,2,700,424,68,70,10,2,3,53,0,1,0,4,63
1,ALBA,"ŞCOALA GIMNAZIALĂ ”LIVIU REBREANU” AIUDUL DE SUS",66,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:20:13",862,320,301,19,0,315,5,900,580,150,49,1,0,0,53,2,1,3,1,55
1,ALBA,"ŞCOALA GIMNAZIALĂ ”LIVIU REBREANU” AIUDUL DE SUS",67,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:07:44",1090,367,353,14,0,355,12,1200,833,167,78,10,1,4,50,2,0,0,3,40
1,ALBA,"FOSTA ŞCOALĂ GENERALĂ GÎMBAŞ",68,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 21:47:20",402,181,161,20,0,178,3,500,319,77,53,8,2,3,19,0,0,1,1,14
1,ALBA,"GRĂDINIŢA CU PROGRAM NORMAL MĂGINA",69,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 21:59:07",458,209,185,24,0,204,5,500,291,85,49,3,0,3,31,1,0,1,0,31
1,ALBA,"CĂMINUL CULTURAL PĂGIDA",70,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 21:29:18",89,44,33,11,0,44,0,100,56,31,5,2,0,0,2,0,0,0,0,4
1,ALBA,"LICEUL TEHNOLOGIC AGRICOL ”ALEXANDRU BORZA” CIUMBRUD",71,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:35:44",1063,444,419,25,0,442,2,1100,656,179,121,9,1,0,67,1,1,2,2,59
1,ALBA,"ŞCOALA PRIMARĂ GÎRBOVA DE JOS",72,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 21:41:51",387,178,144,34,0,177,1,500,322,99,32,2,0,0,30,1,2,0,1,10
1,ALBA,"FOSTA ŞCOALĂ GENERALĂ GÎRBOVA DE SUS",73,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 21:41:26",193,126,95,31,0,124,2,300,174,66,16,3,1,1,27,1,0,0,1,8
1,ALBA,"FOSTA ŞCOALĂ GENERALĂ GÎRBOVIŢA",74,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 21:41:03",98,58,41,17,0,57,1,100,42,25,13,3,0,0,7,1,0,0,0,8
1,ALBA,"SALA DE FESTIVITĂŢI DIN SÎNCRAI",75,"MUNICIPIUL AIUD",1213,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:06:32",550,290,256,34,0,288,2,600,310,111,82,7,2,0,58,0,0,0,2,26
1,ALBA,"PIAŢA AGROALIMENTARĂ",76,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 21:54:28",937,443,413,30,0,441,2,1000,557,190,91,10,3,2,51,1,0,5,3,85
1,ALBA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”LUMEA COPIILOR” BLAJ",77,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:20:30",556,275,240,35,0,268,7,600,325,91,63,11,0,1,50,1,0,0,3,48
1,ALBA,"BAZA DE AGREMENT A MUNICIPIULUI BLAJ",78,"MUNICIPIUL BLAJ",1348,2,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-05 04:09:08",740,348,315,33,0,341,7,800,452,281,32,3,1,0,7,0,1,1,2,13
1,ALBA,"AŞEZĂMÂNTUL SOCIAL - GRĂDINIŢA ”SFÂNTA IRINA”",79,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:26:50",1138,530,488,41,1,524,6,1200,670,200,112,23,2,2,66,3,0,3,1,112
1,ALBA,"ŞCOALA GIMNAZIALĂ ”TOMA COCIŞIU” BLAJ",80,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:34:57",1099,518,470,48,0,511,7,1200,682,194,119,17,4,5,64,2,2,4,2,98
1,ALBA,"CENTRUL CULTURAL ”IACOB MUREŞIANU’’",81,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:21:39",769,445,365,70,10,438,7,800,355,108,133,15,0,2,76,1,1,0,3,99
1,ALBA,"LICEUL TEHNOLOGIC ”ŞTEFAN MANCIULEA” BLAJ",82,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:08:38",618,334,255,64,15,333,1,700,366,111,81,16,1,2,40,1,0,3,0,78
1,ALBA,"SERVICIUL PUBLIC DE ASISTENŢĂ SOCIALĂ BLAJ",83,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:16:30",500,260,234,26,0,254,6,600,340,81,74,5,3,3,18,0,2,0,6,62
1,ALBA,"ASOCIAŢIA JUDEŢEANĂ A VÂNĂTORILOR SI PESCARILOR SPORTIVI ALBA - CLUBUL BLAJ",84,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:09:41",317,174,158,16,0,173,1,400,226,86,28,3,0,3,18,0,1,1,0,33
1,ALBA,"LICEUL TEHNOLOGIC ”TIMOTEI CIPARIU”",85,"MUNICIPIUL BLAJ",1348,2,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-05 04:14:00",1378,790,732,58,0,783,7,1500,710,229,209,25,6,11,83,2,0,5,8,205
1,ALBA,"COLEGIUL NAŢIONAL ”INOCHENTIE MICU CLAIN’’",86,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:23:37",1301,736,637,74,25,719,17,1400,664,171,170,23,7,5,91,0,1,2,6,243
1,ALBA,"ŞCOALA GIMNAZIALĂ ”PETRU PAVEL ARON” BLAJ",87,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:22:15",1663,786,727,59,0,770,16,1700,914,317,117,21,4,12,132,4,7,2,4,150
1,ALBA,"ŞCOALA GIMNAZIALĂ ”ION MICU MOLDOVAN” BLAJ",88,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:36:00",1584,568,537,31,0,551,17,1700,1132,383,101,4,4,1,28,1,0,1,1,27
1,ALBA,"GRĂDINIŢA CU PROGRAM NORMAL ”IZVOARELE” BLAJ",89,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:57:31",1275,562,539,23,0,559,3,1400,838,272,114,9,2,5,65,3,1,1,8,79
1,ALBA,"ŞCOALA PRIMARĂ PETRISAT",90,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:05:11",455,217,196,20,1,212,5,512,295,67,86,6,1,2,18,0,1,0,0,31
1,ALBA,"ŞCOALA GIMNAZIALĂ ”SIMION BĂRNUŢIU” TIUR",91,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:05:33",1261,573,546,27,0,564,9,1300,727,261,126,9,2,4,77,2,0,0,2,81
1,ALBA,"ŞCOALA GIMNAZIALĂ ”AXENTE SEVER” MĂNĂRADE",92,"MUNICIPIUL BLAJ",1348,1,PART,PRCNCT,PRSD,PRSD_SV,"2025-05-04 22:17:07",883,372,353,19,0,370,2,1000,628,211,99,4,1,2,22,0,1,1,1,28
